modelo,look_back,unidades_1,unidades_2,dropout,learning_rate,batch_size,epocas_ejecutadas,mejor_epoca,val_MAE,val_RMSE,val_MAPE,val_R2
LSTM_1,6,32,,0.1,0.001,16,79,59,75504.62932477679,110768.93305947323,381.5886175344949,0.5068714411796049
LSTM_2,12,64,,0.2,0.001,16,25,5,97317.93952546296,128028.4011740353,484.6788153971288,0.33022006278051586
LSTM_3,12,64,32.0,0.2,0.0005,32,23,3,118098.4347511574,132251.03967664475,398.9571849051674,0.2853100417140848
LSTM_4,24,64,32.0,0.3,0.0005,32,22,2,128620.22884114583,141499.14038831368,419.4047316361625,0.19509330489041432
