Serie,Observaciones de entrenamiento,Observaciones de prueba,Inicio de entrenamiento,Fin de entrenamiento,Inicio de prueba,Fin de prueba
Total mensual,147,63,2009-01-01,2021-03-01,2021-04-01,2026-06-01
Frontera 01 La Aurora,147,63,2009-01-01,2021-03-01,2021-04-01,2026-06-01
