Serie,Modelo,MAE,RMSE,MAPE,R2
Total mensual,LSTM (Ejercicio 1),40554.44516557061,50794.234680514695,18.05238517100908,0.5434586337307439
Total mensual,LSTM + catch22 (2.14),60182.796297520414,73537.01339050327,31.851675551836273,0.04310724361325213
