modelo,look_back,unidades_1,unidades_2,dropout,learning_rate,batch_size,epocas_ejecutadas,mejor_epoca,val_MAE,val_RMSE,val_MAPE,val_R2
LSTM_1,6,32,,0.1,0.001,16,25,5,31458.350830078125,43493.336969946395,2067.52025396557,0.375109250486349
LSTM_2,12,64,,0.2,0.001,16,25,5,34162.543077256945,46284.52451859188,2246.0779933154754,0.261621061764458
LSTM_3,12,64,32.0,0.2,0.0005,32,23,3,41744.54763454861,47011.24620696357,1775.6599733850514,0.23825218892418787
LSTM_4,24,64,32.0,0.3,0.0005,32,22,2,44518.4618733724,50108.245494057905,1800.9844279181227,0.16289757814209005
