fecha,Real,Prediccion_LSTM
2021-04-01,59743.1902214643,95157.17
2021-05-01,73873.0,98007.32
2021-06-01,95146.0,99781.5
2021-07-01,97594.66433359256,104156.79
2021-08-01,72327.0,107129.055
2021-09-01,67022.99999999997,108381.86
2021-10-01,83528.0,106295.67
2021-11-01,98578.0,107654.836
2021-12-01,223569.1278011966,110271.36
2022-01-01,134303.0,130694.375
2022-02-01,193903.6,138512.3
2022-03-01,227886.0,155338.73
2022-04-01,292648.0,175800.81
2022-05-01,260013.0,203756.19
2022-06-01,269366.0,222770.36
2022-07-01,306246.0,233083.72
2022-08-01,297602.0,253226.97
2022-09-01,246464.0,264904.94
2022-10-01,281938.0,263067.44
2022-11-01,318693.0,262677.44
2022-12-01,400266.0,270792.8
2023-01-01,258166.18821264655,292839.53
2023-02-01,198751.85766927944,285718.34
2023-03-01,251839.50267324003,268135.72
2023-04-01,283179.2556557846,262571.16
2023-05-01,213191.0389184069,260126.14
2023-06-01,224580.17382775573,244511.39
2023-07-01,257626.95044792976,229314.64
2023-08-01,264514.08794636687,231162.66
2023-09-01,218486.47810497988,237872.14
2023-10-01,164499.38846570507,232746.2
2023-11-01,255894.2762344005,216907.95
2023-12-01,327097.61316611955,221617.17
2024-01-01,292731.8668067316,238071.81
2024-02-01,265990.67321318097,247124.05
2024-03-01,322310.3940022896,250931.17
2024-04-01,240988.81729405135,266258.62
2024-05-01,238807.9548151027,267432.0
2024-06-01,234781.22686199367,260280.64
2024-07-01,266974.95506929053,248234.23
2024-08-01,282101.83101094456,245780.81
2024-09-01,215658.8098341591,248735.94
2024-10-01,249665.7008373391,237543.73
2024-11-01,302674.076910829,238336.61
2024-12-01,361749.6884796847,248108.97
2025-01-01,289543.5982553855,268431.6
2025-02-01,254428.88643334265,273003.97
2025-03-01,278538.2509841704,269362.5
2025-04-01,300287.6910735994,272600.22
2025-05-01,247981.9259720942,275809.03
2025-06-01,254190.0961535216,265982.0
2025-07-01,283388.6987866118,255315.75
2025-08-01,293780.5243930469,255997.98
2025-09-01,218069.51122057904,261022.11
2025-10-01,255920.93232213068,250863.9
2025-11-01,310585.5201071752,246762.95
2025-12-01,365573.0218067979,255931.39
2026-01-01,300664.07527322107,274498.78
2026-02-01,236844.11361811563,279062.84
2026-03-01,291160.36570034793,270684.66
2026-04-01,260951.04561236835,275524.44
2026-05-01,241312.2952590584,270568.1
2026-06-01,245687.58097717003,259084.92
