Serie,Mejor modelo,Look back,MAE prueba,RMSE prueba,MAPE prueba,R2 prueba
Total mensual,LSTM_1,6,40554.44516557061,50794.234680514695,18.052385171009078,0.5434586337307439
Frontera 01 La Aurora,LSTM_1,6,15908.08684630557,19295.30430617535,18.82077861634616,0.2891055434552513
