serie,Total mensual,Frontera 01 La Aurora,Frontera 07 Valle Nuevo,Frontera 09 San Cristóbal,Vía Aérea,Vía Terrestre,Vía Marítima
Total mensual,0.0,4.800404895665216,3.2820479553571684,5.924238127469735,4.827865547055679,3.662424964041698,11.355161300097489
Frontera 01 La Aurora,4.800404895665216,0.0,5.4366884767549575,6.395233086864968,0.2706834566332794,6.040665783342539,9.538028771334147
Frontera 07 Valle Nuevo,3.2820479553571684,5.4366884767549575,0.0,4.713674053632172,5.47410479158863,3.777446986031553,10.57561650601223
Frontera 09 San Cristóbal,5.924238127469735,6.395233086864968,4.713674053632172,0.0,6.48455277966329,5.764413110629301,11.71446011889304
Vía Aérea,4.827865547055679,0.2706834566332794,5.47410479158863,6.48455277966329,0.0,6.064614448260349,9.488463133838026
Vía Terrestre,3.662424964041698,6.040665783342539,3.777446986031553,5.764413110629301,6.064614448260349,0.0,11.30568866058414
Vía Marítima,11.355161300097489,9.538028771334147,10.57561650601223,11.71446011889304,9.488463133838026,11.30568866058414,0.0
