serie,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
Total mensual,0.08272481438309387,0.3419962146236044,8.9651997776219,3.0,0.35230650296558447,-0.061858504374558684,0.9330143540669856,30.0,0.013774104683195593,11.0,0.31831645172426587,2.0,0.05555555555555555,0.20952380952380945,0.32380952380952377,0.8202232435468907,6.0,1.8518419905565258,0.8333333333333334,0.8571428571428571,0.12271846303085937,0.6259045591934503
Frontera 01 La Aurora,-0.40131865027315494,-0.1177158915734946,6.601760480160232,10.0,0.20355975098418613,-0.16287503249110344,0.9473684210526315,34.0,0.010204081632653059,11.0,0.21220686690322177,9.0,0.07142857142857142,0.1880952380952381,0.32380952380952377,0.758802491875201,5.0,2.0008912093612303,0.8571428571428571,0.8571428571428571,0.17180584824320314,0.7377011245165966
Frontera 07 Valle Nuevo,0.3117147436325285,0.07494354472870657,9.212324401971385,2.0,0.2653038526471229,-0.09171301235515048,0.9234449760765551,38.0,0.03856749311294766,7.0,0.30246036176930713,1.0,0.05555555555555555,0.161904761904762,0.3285714285714285,0.7923082625733474,6.0,1.8543399154659854,0.14285714285714285,0.8333333333333334,0.12271846303085937,0.6553038588726471
Frontera 09 San Cristóbal,0.5835427978689057,-0.11572700329034691,8.496821724323672,7.0,0.34545127506795104,-0.04606278295842473,0.8708133971291866,31.0,0.0699588477366255,7.0,0.24299866150585175,6.0,0.047619047619047616,0.19999999999999996,-0.41428571428571426,0.7882500147328971,5.0,1.7495449879892222,0.14285714285714285,0.8571428571428571,0.12271846303085937,0.6933832587119252
Vía Aérea,-0.39822434272171936,-0.11466253893545697,6.590944202593979,10.0,0.20621188623987163,-0.16277933804720945,0.9569377990430622,34.0,0.010204081632653059,11.0,0.2099008719050698,9.0,0.07142857142857142,0.18571428571428572,0.32380952380952377,0.7582837750640802,5.0,2.0008912093612303,0.8571428571428571,0.8571428571428571,0.17180584824320314,0.738676597139215
Vía Terrestre,0.27730127190494736,-0.19302248321342508,9.572755191353867,2.0,0.4841598607987537,-0.024702155434812644,0.9330143540669856,29.0,0.013774104683195593,3.0,0.33573861084319967,1.0,0.05555555555555555,0.21904761904761916,0.3285714285714285,0.8176931344941294,6.0,1.7817873914050306,0.8333333333333334,0.8571428571428571,0.0981747704246875,0.6156344756818808
Vía Marítima,-0.4664146361736322,-0.46641463617363227,1.0237273144918138,2.0,0.0933508672678642,-0.43631825589334217,1.0,8.0,0.00618681152859514,3.0,0.07774141318548154,1.0,0.5,-0.02083333333333337,0.4375,0.4521559883169848,4.0,2.1100827128304793,0.17142857142857143,0.6571428571428571,1.0308350894592189,1.101251376969513
