serie,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
Total mensual,0.21664699455043926,1.8596964157576257,0.6361067011088354,-0.6154574548966638,0.6242850951953423,0.6052230853231186,-0.13295400586957523,0.09442089072996888,-0.4407688585003239,1.0289915108550531,0.9204228639519416,-0.6154574548966638,-0.43337857007533215,0.5988440439166355,0.32744395520347996,0.6584599069549902,1.0206207261596576,-0.4504639109262773,0.8307443948871275,0.4627903498261234,-0.44593337472710065,-0.7245947869007642
Frontera 01 La Aurora,-1.028064820997029,-0.14543734505354836,-0.2199831301150295,1.395036897765771,-0.6359334778544536,-0.16825078246849892,0.2659080117391566,0.5350517141364901,-0.6070292838221627,1.0289915108550531,-0.3723015913236601,1.395036897765771,-0.3305429771761008,0.32092747104924696,0.32744395520347996,0.14730369710740715,-0.4082482904638628,0.7655948512935155,0.9001383180877226,0.4627903498261234,-0.28985669357261534,-0.0036365743413047406
Frontera 07 Valle Nuevo,0.8054917810006935,0.6948884476780577,0.7256206895484065,-0.9026709338484402,-0.11282246766151541,0.3766299809142766,-0.3988620176087288,0.9756825375430113,0.7138901583017367,-0.17149858514250876,0.7272494076200324,-0.9026709338484402,-0.43337857007533215,-0.018748340233116813,0.34519503118740524,0.42614565673749144,1.0206207261596576,-0.430083908281006,-1.1816793779301382,0.11815923825347968,-0.44593337472710065,-0.5350033939456423
Frontera 09 San Cristóbal,1.5044942789387241,-0.1367623787229654,0.4664498417058088,0.5333964609104418,0.566205941170069,0.7261694093167562,-1.8613560821740842,0.2045785965815992,2.1758246884914505,-0.17149858514250876,0.00283234188110637,0.5333964609104418,-0.48479636652494784,0.47532556708668505,-2.4239728223049473,0.3923720781294842,-0.4082482904638628,-1.2850819472930914,-1.1816793779301382,0.4627903498261234,-0.44593337472710065,-0.2894354199733783
Vía Aérea,-1.020107847189016,-0.1321194872558984,-0.22390102436605122,1.395036897765771,-0.6134639444835804,-0.16751805928918462,0.5318160234783132,0.5350517141364901,-0.6070292838221627,1.0289915108550531,-0.4003953411284661,1.395036897765771,-0.3305429771761008,0.29004785184175935,0.32744395520347996,0.1429868284280069,-0.4082482904638628,0.7655948512935155,0.9001383180877226,0.4627903498261234,-0.28985669357261534,0.002654092964714799
Vía Terrestre,0.7169979617447123,-0.47390332903201854,0.8561766695482855,-0.9026709338484402,1.7413787341954092,0.8897256856726679,-0.13295400586957523,-0.015736815121661415,-0.4407688585003239,-1.3719886811400708,1.1326756137363503,-0.9026709338484402,-0.43337857007533215,0.7223625207465889,0.34519503118740524,0.6374038156713235,1.0206207261596576,-1.0220234924870093,0.8307443948871275,0.4627903498261234,-0.5239717153043433,-0.7908249168688498
Vía Marítima,-1.1954583480485246,-1.666362323371253,-2.2404697474302546,-0.9026709338484402,-1.569649880561269,-2.261979319469136,1.728402076304512,-2.3290486380058977,-0.7941185621482157,-1.3719886811400708,-2.010483294737302,-0.9026709338484402,2.446018031103146,-2.3887591144078013,0.7512508943196976,-2.404671983028699,-1.8371173070873834,1.656463556400355,-1.0984066700894237,-2.4321109873840934,2.441485226630877,2.340840999065226
